F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
55.7,-1.14,1,1.8704,1,-13.749,-4.392,-4.7774,3624.64,-11.022,-2319.16,-96919.806,5.82,-3.7921,1941.78,31.745,-4.51,9690.36,-155.39,-4453.53,8.46,False
39.68,-4.14,1,1.9418,0,-17.547,-3.40325,-3.5226,9435.64,-10.85574,-647.36,-96940.14,8.805,-3.8783,2128.62,30.2248,-4.63,9649.41,53.6,-6308.93,9.83,True
40.384,-1.14,0,3.426,0,-16.098,-3.3402695,-3.9454,9255.84,-11.2314,-3766.8,-96932.056,9.348,-3.7337,2121.81,26.55,-6.83,9977.04,210.64,-5572.93,9.67,False
89.92,-4.14,0,3.424,0,-23.265,-3.41136,-3.5176,8455.298,-16.068,-3734.36,-96942.66,6.0687,-5.256,2885.61,17.55,-5.0918,9717.09,159.49,-5385.59,,False
69.54,-1.14,0,1.2264,1,-19.779,-3.341158,-5.638,3800.64,-10.9668,-2856.56,-96921.96,8.913,-3.7514,2269.65,34.484,-4.7832,9678.9,1067.81,-5325.63,,True
44.46,-1.14,1,4.612,0,-11.2377,-4.503,-7.098,6122.64,-11.2632,-4202.16,-96939.98,9.507,-6.379,2102.94,36.584,-4.567,12186.63,213.5,-4861.83,11.61,True
44.504,-1.14,0,2.973,1,-19.212,-3.3406875,-4.2586,8335.4,-17.631,-3139.96,-96694.6,5.8608,-4.0082,1719.81,38.254,-4.37666,9899.52,92.67,-9125.63,,True
84.62,-4.14,1,2.315,0,-16.401,-3.607,-5.962,7748.04,-11.9823,-4128.38,-96758.26,5.7522,-4.1565,2186.82,25.488,-4.5252,9824.91,343.01,-5776.83,11.58,True
38.974,-4.14,1,2.858,1,-10.9935,-3.9743,-4.8716,8226.44,-11.7504,-3964,-96870.86,6.7359,-4.0542,2188.53,34.246,-6.408,10272.03,207.44,-5415.11,,False
42.984,-4.14,0,1.09347,0,-17.142,-4.399,-3.7138,8717.84,-12.3369,-3061.36,-96934.35,5.8941,-4.5503,2898.21,18.5,-5.5928,9510.99,1526.61,-5681.93,,False
66.98,-1.14,0,1.2773,1,-12.231,-3.5745,-5.454,7970.24,-13.668,-3995.06,-96505.8,5.28255,-4.287,1982.31,30.341,-7.73,10228.83,-74.89,-5432.46,9.84,True
135.1,-1.14,0,1.5525,0,-15.453,-3.35001,-3.8412,8623.66,-15.09,-3771.48,-96696.8,5.6634,-5.547,1815.96,18.252,-4.39968,9910.38,102.91,-7224.63,10.54,False
74.14,-1.14,1,1.6456,1,-14.904,-3.9945,-4.904,7465.84,-12.6492,322.64,-96843.2,9,-3.7731,2121.84,28.068,-5.0326,9547.17,53.43,-5708.23,,True
64.46,-1.14,0,1.09305,0,-10.836,-3.6224,-6.252,8073.84,-15.477,-4416.56,-97140.6,8.346,-3.9219,2097.39,23.438,-4.568,12250.83,2542.61,-6347.83,,True
51.928,-1.14,0,1.3332,1,-11.6355,-3.38947,-3.25838,8897.24,-11.8236,-4695.16,-96850.68,11.529,-3.7779,5088.81,38.206,-8.53,10288.83,977.01,-5456.008,,False
53.272,-1.14,0,2.267,0,-15.009,-4.1011,-9.776,8403.26,-12.9453,-2212.56,-99219.8,5.5629,-3.8235,2066.277,31.0778,-11.466,9683.55,135.881,-5439.803,,False
38.328,-4.14,0,2.078,0,-11.8374,-5.507,-5.656,8496.74,-23.316,-4047.54,-96940.16,7.1946,-4.94,2116.59,33.516,-4.508,10431.63,302.41,-5199.73,9.14,False
43.314,-4.14,1,1.3204,1,-12.3384,-5.069,-4.5676,8177.44,-16.737,-2920.76,-96997.66,6.0366,-4.0479,1983,25.284,-5.2224,9469.23,-475.49,-5373.54,,False
54.934,-4.14,1,2.467,0,-18.981,-3.3609,-4.509,6292.64,-11.4387,-3843.66,-96952.42,5.607,-7.449,2215.17,30.6388,-7.474,9660.6,119.169,-5444.406,,False
63.36,-4.14,1,1.9811,0,-12.8871,-3.3662,-3.7886,8049.04,-15.99,-4480.56,-96872.94,6.4569,-3.9823,1557.51,31.4654,-6.308,10385.73,42.37,-5459.4,,False
46.224,-4.14,0,1.5476,1,-13.581,-3.43277,-3.32492,8749.84,-14.292,-3334.76,-96889.74,9.903,-5.053,6303.81,13.312,-7.806,9015.03,587.31,-5521.84,,True
38.542,-4.14,1,2.181,1,-12.6873,-3.37614,-3.9348,8509.98,-16.239,-3670.56,-96986.94,10.257,-5.479,2227.62,28.57,-10.18,9403.83,84.05,-5438.119,,False
150.88,-4.14,0,1.547,0,-20.223,-3.841,-3.3132,7354.44,-12.0648,-2301.96,-98246.6,7.3677,-4.0123,1423.71,45.914,-4.7132,9721.05,-106.09,-6202.63,11.53,True
59.34,-4.14,1,2.588,1,-12.3318,-3.5732,-3.31818,7468.04,-12.1011,-3656.96,-96920.154,12.558,-4.0973,4817.91,14.158,-4.896,9364.23,237.41,-5318.83,,False
36.6576,-4.14,1,1.4012,1,-11.0985,-3.699,-4.5512,8732.64,-13.3695,-2456.76,-96885.12,6.1137,-3.73583,2223.87,29.6504,-9.38,9662.64,367.11,-5412.97,,False
39.386,-4.14,1,4.705,0,-11.5908,-5.863,-8.3,6442.64,-12.3009,-6037.36,-96890.94,10.2,-3.862,1969.35,26.922,-4.5746,11508.33,103.91,-5200.03,9.54,False
67.12,-1.14,0,1.7466,1,-12.4212,-3.36429,-7.696,7903.24,-14.598,-4156.56,-96932.924,6.4629,-4.3882,2078.19,43.108,-8.698,10272.33,439.31,-5520.56,10.25,True
66.58,-1.14,1,1.9147,0,-15.687,-3.6709,-3.7838,7708.04,-13.809,-3737.16,-97060.32,7.8429,-4.836,2867.01,30.4898,-7.798,9630.24,424.41,-5548.83,11.89,True
43.85,-1.14,0,1.1518,1,-15,-3.37081,-3.26348,8224.84,-14.502,-3903.88,-96930.26,6.5595,-5.215,6084.81,16.374,-4.5294,9699.06,1774.61,-5510.06,9.43,True
35.49198,-1.14,0,2.226,0,-11.6271,-5.354,-3.3564,9794.44,-11.0469,-3552.16,-96624.8,9.594,-3.8038,1608.81,22.016,-5.9758,10486.83,116.93,-5410.37,,False
81.84,-4.14,0,1.4238,0,-13.821,-4.3296,-4.4348,8284,-21.039,-3692.56,-96982.3,9.726,-4.2764,2306.97,30.70848,-4.43386,9711.42,588.21,-6721.63,,True
44.444,-1.14,0,1.2268,0,-11.0121,-3.35952,-3.956,7002.04,-11.9097,-3668.16,-96895.56,7.5057,-5.519,2670.21,42.794,-5.1306,6643.53,564.61,-5556.83,,True
42.636,-4.14,0,2.458,0,-11.2932,-4.007,-4.4582,6874.24,-12.3072,-6351.36,-97021.04,5.38698,-3.9494,2190.63,38.468,-4.5314,12105.33,333.51,-5266.03,11.02,True
42.838,-1.14,0,1.2154,1,-20.274,-3.7883,-3.30354,7940.44,-13.659,-4051.48,-96896.78,6.8721,-4.2062,3075.51,25.116,-5.5094,9845.73,1010.31,-5641.23,,True
55.48,-4.14,1,1.5695,0,-11.7966,-4.1301,-3.4752,-2151.36,-10.86417,-3922.994,-96862.7,9.378,-5.826,2024.751,28.8806,-4.7994,9903.57,44,-5421.55,8.77,False
91.46,-1.14,0,2.353,1,-18.531,-3.5406,-3.31716,8619.88,-14.619,-3489.56,-96905.458,8.898,-5.106,5565.81,19.334,-7.098,9573.18,299.61,-5543.6,,False
37.1548,-4.14,0,1.1612,1,-12.3051,-3.40348,-7.368,8316.96,-10.83012,-2468.36,-96937.94,10.308,-4.1342,2090.19,23.574,-7.594,9234.33,433.61,-5577.73,,True
46.032,-4.14,0,1.5342,0,-12.4797,-3.532,-4.472,8104.64,-12.4191,-3921.402,-98584.4,5.4882,-6.136,2439.51,33.568,-6.666,9654.63,681.11,-5480.48,11.06,True
58.34,-4.14,1,1.3271,0,-11.8038,-3.6274,-6.302,5226.64,-10.9668,-3674.36,-96912.684,6.0231,-4.99,2057.499,19.98,-5.4978,9619.44,118.844,-5629.23,11.01,True
43.56,-4.14,0,2.278,1,-12.06,-3.4957,-3.27658,4936.64,-11.5245,-3436.16,-96872.02,6.0036,-4.3059,6786.81,37.352,-4.804,8924.13,339.71,-6093.03,,True
85.92,-1.14,1,1.267,1,-14.28,-3.8278,-3.7524,8111.84,-13.899,-5665.96,-96877.7,6.8619,-3.8121,1864.71,31.9214,-4.7252,10181.13,371.51,-5433.17,8.19,False
43.248,-4.14,0,1.5805,1,-12.7659,-3.6362,-4.9032,8330.48,-17.334,-3687.16,-96885.08,6.09,-4.1885,2148.39,39.298,-5.1284,9977.28,482.01,-5901.93,,True
50.808,-4.14,1,1.1398,0,-10.75173,-4.866,-4.1142,3472.64,-11.0466,-3716.56,-96926.94,6.4437,-4.5183,1553.31,26.096,-6.1244,13987.53,-1045.39,-5668.33,,True
54.444,-1.14,0,2.21,0,-13.1913,-3.5807,-3.7864,4138.64,-11.2299,-3907.72,-96989.26,8.256,-5.334,1788.57,20.162,-4.4474,9876.27,-3.29,-4846.93,11.15,True
60.2,-4.14,0,1.0651,0,-14.256,-3.5354,-6.58,6896.84,-11.6394,-3043.16,-96899.152,5.45649,-4.3678,2032.608,22.872,-7.148,9600.06,-1048.39,-5604.83,9.1,True
41.62,-1.14,1,2.88,0,-12.1413,-3.4502,-3.8404,7932.24,-14.418,-3692.96,-96926.76,11.508,-4.6446,2174.16,27.086,-8.886,9380.73,69.42,-5401.68,10.5,True
69.24,-4.14,0,1.5907,1,-11.5806,-3.37807,-6.912,6775.84,-11.8116,-3466.76,-97036.64,10.014,-4.902,2137.65,36.87,-4.7712,8046.03,29.44,-5310.93,9.65,False
58.04,-4.14,0,1.627,1,-15.228,-4.2561,-11.116,7910.24,-13.4865,-4606.16,-97543.8,7.2609,-3.9356,2061.825,26.048,-5.7366,10014.45,531.11,-5652.03,12.44,True
42.686,-4.14,0,1.6203,1,-13.521,-3.38684,-6.888,8670.24,-12.8181,-3872.86,-96940.66,5.34213,-3.8575,1949.61,31.9038,-5.557,10246.83,-23.99,-5453.78,,False
35.59188,-4.14,1,2.297,1,-13.1076,-3.8802,-5.682,9034.24,-11.4921,-2285.96,-96866.96,6.054,-3.7629,1928.73,21.654,-5.796,10090.23,23.71,-5433.25,10.48,False
44.014,-1.14,0,1.5193,0,-10.9992,-3.587,-9.276,9184.04,-12.261,-3277.56,-96913.988,7.6638,-4.786,2071.89,32.824,-4.39554,8006.13,201.89,-7758.63,9.3,False
46.09,-4.14,1,1.793,0,-13.14,-3.6859,-5.644,8119.64,-15.582,-3766.16,-96915.452,10.518,-4.321,1953.54,34.01,-4.7152,10122.33,80.73,-6073.33,,True
45.084,-1.14,0,1.2176,0,-10.9671,-4.0568,-3.5708,4598.64,-11.0661,-3463.76,-97068.36,7.7787,-4.0647,3542.01,36.358,-4.38922,7449.33,1240.61,-5547.83,,True
45.118,-1.14,1,1.2648,0,-11.6538,-3.3402841,-3.3914,7204.24,-12.408,-3694.16,-96970.16,9.669,-4.2485,1550.01,28.364,-5.1192,9920.16,-343.99,-5423.48,,True
48.026,-1.14,1,3.376,1,-13.356,-4.0421,-4.234,8482.3,-12.9843,3152.64,-96921.34,7.9815,-3.7789,2049.888,26.238,-7.802,9134.43,11.11,-5423.5,,True
44.754,-1.14,1,1.3523,1,-11.331,-3.36091,-5.45,1268.64,-10.75884,-1853.36,-96916.145,6.8817,-3.9287,2233.74,60.68,-5.7508,8116.83,478.51,-5638.63,,True
66.04,-1.14,1,2.127,1,-11.4732,-3.36334,-5.578,7476.64,-12.7911,-1415.36,-96720.62,8.46,-3.8298,2284.56,40.094,-5.8004,8243.43,305.01,-5609.93,9.45,True
38.914,-4.14,1,2.18,0,-11.9664,-3.37114,-4.5888,8875.24,-11.1282,-2686.96,-96913.182,6.4137,-4.0333,2513.91,30.445,-9.878,8626.53,299.41,-5439.02,,False
102.06,-1.14,1,1.7562,0,-10.9896,-4.0108,-8.684,6521.04,-11.2785,-2967.56,-96895.46,5.43669,-3.9873,2112.99,32.1338,-5.0574,8499.33,374.41,-5802.93,,True
44.892,-4.14,1,1.8239,1,-11.742,-3.342465,-9.666,8740.64,-12.9063,-3881.42,-97183.4,5.8464,-4.6152,2058.684,14.81,-9.95,10576.83,402.11,-5510.73,12.24,True
81.1,-4.14,0,1.5132,1,-14.607,-5.017,-3.994,9070.84,-13.0272,-3576.96,-96976.26,5.164527,-6.005,2471.01,30.0094,-5.3412,9310.53,86.89,-5450.566,,False
61.52,-4.14,1,1.2347,1,-10.76808,-4.0676,-6.214,8822.24,-15.084,-3404.76,-96822.1,7.5735,-4.731,2307.15,44.7,-8.772,3448.53,1358.61,-5448.3604,,False
38.068,-4.14,1,4.432,0,-14.184,-3.40985,-8.712,9281.44,-11.343,-3914.5,-96926.664,9.411,-4.3482,1975.44,22.304,-5.1014,10189.83,102.65,-5505.6,,False
58.76,-1.14,0,4.544,0,-12.9381,-3.5119,-5.1028,5746.64,-11.1573,-3511.56,-96936.486,6.0432,-4.252,2223.33,19.146,-4.7884,9444.63,153.05,-5428.22,10.68,False
35.834,-4.14,0,1.8689,0,-13.833,-3.6511,-7.878,8559.96,-16.377,-3623.36,-96940.12,5.42889,-5.655,2055.609,35.88,-4.41082,9622.68,135.327,-7554.63,,False
54.014,-1.14,0,1.122,0,-18.234,-3.8975,-6.944,2106.64,-11.0049,-3997.94,-96906.658,7.7931,-6.153,2013.285,34.194,-7.364,9955.68,1041.21,-5577.13,11.51,True
41.764,-1.14,0,4.701,1,-10.8894,-3.8836,-4.0052,7764.64,-13.0368,-1277.36,-96875.32,6.2946,-3.72702,2515.71,18.288,-4.5236,8903.73,191.39,-6571.63,9.13,True
46.784,-4.14,1,1.3659,1,-18.807,-3.8539,-3.98,3762.64,-11.1528,-3876.26,-97040.08,10.248,-6.729,2873.61,32.004,-4.453,9590.76,702.71,-5012.13,,False
39.128,-4.14,1,1.4252,1,-15.663,-3.8162,-4.0666,7788.44,-13.2675,-3583.56,-96955.28,14.733,-4.893,2583.21,26.088,-5.5364,9566.13,655.21,-5770.03,12.26,True
78.9,-1.14,0,1.5648,0,-10.71294,-5.915,-3.6494,8083.44,-15.249,-3779.22,-97005.68,7.3371,-5.088,2292.39,48.21,-4.35502,8206.83,94.9,-5280.13,,True
47.134,-1.14,0,3.469,0,-12.5244,-3.347916,-5.0606,8480.9,-14.25,-3821.82,-96973.78,10.089,-5.699,1860.63,28.63,-5.154,10335.93,95.92,-5806.13,,False
69.16,-4.14,0,2.055,0,-13.749,-3.42241,-3.807,8640.16,-16.932,-3697.96,-96895.28,5.23959,-5.454,3304.11,24.292,-4.39862,9391.23,535.71,-7291.63,9.34,False
41.776,-1.14,0,3.673,1,-11.1939,-3.348163,-4.961,8457.632,-16.518,-4533.76,-96928.838,8.397,-3.8386,1897.26,26.04,-4.5588,11939.13,117.48,-5437.4,,False
54.61,-1.14,1,1.7273,1,-12.5916,-3.343134,-10.54,8089.44,-16.188,-1407.36,-96918.154,8.637,-3.821,2048.409,19.596,-5.4772,9276.03,-114.49,-5316.43,,False
54.184,-1.14,1,1.1806,1,-11.6154,-3.3408375,-3.6642,8750.44,-11.6034,-3710.76,-96447.8,7.7694,-4.958,2238.03,18.122,-6.1028,9575.67,62.99,-5413.87,,False
84.94,-4.14,1,1.6151,0,-15.678,-5.408,-3.421,8107.44,-13.986,-4012.44,-96879.1,5.574,-5.794,3644.01,53.58,-9.038,9898.53,757.41,-5512.73,,True
162.06,-1.14,0,2.199,0,-13.482,-3.40966,-5.758,8061.24,-15.453,-3941.0622,-97033.06,8.0388,-4.0301,2065.833,55.1,-11.562,10017.84,237.11,-5489.09,,True
39.198,-4.14,1,1.9174,0,-11.514,-4.667,-5.528,8321.86,-16.554,-3789.98,-96895.42,5.183655,-4.0475,2159.28,36.086,-5.7508,10075.83,369.01,-5601.83,11.7,True
36.9046,-1.14,0,1.06196,1,-10.8771,-3.6629,-6.716,8489.08,-17.433,-3920.752,-96878.96,7.1208,-5.859,2083.44,33.79,-8.424,11709.63,3329.61,-5505.8,,False
38.202,-4.14,0,1.2511,1,-10.69404,-3.8965,-4.5988,8573.14,-19.881,-3579.76,-96970.68,8.175,-4.3202,1597.71,38.85,-5.5296,17929.53,-666.59,-5682.23,,True
43.674,-4.14,1,1.09758,0,-11.9106,-3.35341,-8.812,8665.44,-19.296,-4187.56,-96943.14,8.1309,-3.8295,2042.0904,24.094,-5.067,10922.43,2480.61,-5832.23,10.59,True
80.62,-1.14,0,1.3189,1,-12.5565,-4.0257,-8.988,8532.16,-13.629,-5043.36,-96925.82,5.4714,-3.7622,2082.36,21.788,-7.486,10107.03,741.31,-5427.2,10.25,False
38.924,-1.14,1,2.389,0,-12.6555,-3.5084,-4.411,8192.64,-14.145,-4017.78,-96627.6,6.0327,-6.457,1917.87,32.6094,-4.35762,10476.93,153.98,-5587.43,10.6,True
45.962,-1.14,0,1.1739,0,-13.749,-3.5735,-7.41,7206.64,-12.078,-4009.74,-96917.433,8.331,-5.983,1977.33,36.952,-4.6008,10177.53,-363.99,-5311.13,8.74,True
92.02,-4.14,1,1.4878,1,-15.147,-3.3400642,-4.5576,6807.44,-11.6136,-6441.36,-96069.2,6.6426,-3.7067,2208.45,29.3112,-6.716,9969.87,697.71,-5586.93,10.61,True
36.351,-4.14,0,2.273,0,-11.4279,-3.759,-5.804,7978.04,-11.7006,-2180.76,-96998.42,7.617,-3.8855,2050.278,41.588,-6.246,9654.72,132.559,-5594.63,8.7,False
38.168,-1.14,1,3.568,0,-13.1853,-3.37415,-3.4416,6884.24,-11.403,-4111.5,-96933.98,7.7289,-4.756,3160.71,38.002,-5.518,9950.76,217.84,-5419.89,12.06,True
44.63,-4.14,1,1.1559,1,-13.1049,-3.8469,-5.454,8496.86,-15.798,-4198.76,-96956.24,7.6701,-4.77,2120.19,42.406,-5.7158,10280.43,1695.61,-5443.976,,False
56.88,-4.14,0,1.6502,1,-10.9368,-3.7604,-3.8534,2594.64,-11.0034,-3873.54,-96882.64,7.2684,-8.215,2789.61,39.836,-4.8944,8004.33,551.61,-6117.43,,True
38.866,-4.14,1,1.3487,1,-20.463,-3.344478,-5.912,9289.44,-12.0159,-2518.96,-96875.68,9.468,-4.2332,2144.88,22.81,-7.242,9595.5,-42.49,-5447.9403,9.86,False
36.0952,-4.14,1,2.81,0,-10.8918,-3.346632,-7.006,7878.04,-13.3536,-2884.56,-98449.2,8.373,-3.7542,1997.01,40.576,-4.9746,11796.63,119.126,-5826.93,11.24,True
37.912,-1.14,0,1.2129,0,-13.473,-3.5146,-4.5478,8797.44,-16.218,-3691.96,-96904.68,5.26506,-5.165,2190.72,19.298,-8.114,9548.55,-20.89,-5358.3,9.75,False
71.26,-4.14,1,1.5025,0,-11.7675,-3.3400053,-6.124,8319.64,-23.745,-3435.76,-96864.58,6.0357,-4.837,2076.21,40.692,-4.647,9121.23,85.74,-6400.73,12.41,True
76.34,-4.14,0,3.617,0,-14.694,-4.2445,-3.26992,8345.18,-14.82,-3872.28,-96925.504,5.6253,-3.9776,6009.81,21.908,-11.694,9748.455,244.71,-5459.38,,True
49.926,-1.14,1,1.199,1,-17.061,-4.458,-3.7194,13118.64,-10.9398,-3683.36,-96866.52,5.9697,-6.269,3699.21,32.0546,-9.61,9468.63,2257.61,-5506.44,,True
60.04,-1.14,1,1.1994,1,-11.7231,-3.9563,-4.349,7743.04,-13.0245,-3860.5,-96947.96,9.135,-3.70893,2095.05,34.452,-4.5322,10286.13,653.71,-6190.83,,True
40.702,-1.14,0,1.2305,1,-11.4948,-4.0654,-5.78,8494.16,-16.596,-3981.02,-97017.32,6.207,-4.6207,2045.799,17.82,-6.776,10969.83,799.51,-5536.28,,False
42.106,-4.14,0,1.6783,0,-11.082,-3.3403124,-4.9914,10401.84,-11.3742,-1665.36,-97054.22,7.3317,-3.8126,2066.334,32.3636,-5.1594,10379.13,270.71,-5794.43,,False
74.52,-1.14,1,1.6749,0,-15.105,-3.9529,-4.0282,8790.84,-11.259,-3411.96,-96689.4,9.726,-4.5756,2703.81,35.822,-10.73,9465.63,413.41,-5458.55,9.37,False
69.04,-1.14,1,1.6561,1,-12.8667,-3.38592,-8.236,10181.44,-10.9122,-743.36,-96933.056,5.6256,-3.8349,2032.347,26.006,-5.0178,9456.33,-141.49,-5350.02,,False
38.054,-1.14,0,2.022,1,-11.9058,-3.4429,-3.4188,7957.04,-15.099,-3606.96,-96894.98,6.4428,-5.861,2583.21,24.468,-5.1418,8769.93,57.85,-5844.53,10.12,True
53.05,-1.14,0,1.5916,0,-13.29,-3.7167,-4.569,9030.44,-12.4257,-2923.36,-96914.394,7.251,-4.265,2458.41,32.1984,-6.892,9267.33,526.31,-5546.54,10.83,False
51.346,-1.14,1,1.2302,1,-10.7937,-4.791,-6.044,8199.24,-16.869,-3636.36,-97002.66,6.918,-6.317,2067.564,45.72,-4.9658,6376.53,-24.29,-6271.63,9.77,False
60.82,-4.14,0,1.2597,0,-11.5962,-4.2602,-9.044,7955.24,-12.7203,-3780.12,-96851.5,9.717,-5.02,1996.02,25.054,-5.5998,10611.03,-59.49,-5731.73,11.22,True
39.74,-1.14,1,1.8868,1,-14.322,-3.3400454,-6.406,7476.84,-13.026,-3841.72,-96897.14,6.5721,-4.1795,1957.14,24.266,-5.3124,9947.94,-58.19,-5428.2,,False
50.4,-1.14,1,3.45,1,-11.415,-3.6032,-5.848,9015.04,-11.3895,-2678.96,-96899.874,6.3036,-4.1915,2058.852,32.5382,-6.324,9084.03,116.71,-5616.73,10.7,True
71.24,-4.14,0,3.063,0,-15.717,-3.4675,-3.5776,10714.64,-11.2386,-4231.76,-97026.28,5.4603,-3.8341,2190.12,49.89,-4.6686,10015.26,219.53,-5761.13,,False
39.326,-1.14,0,1.1046,0,-11.5464,-3.38583,-5.402,8588.56,-17.349,-3961.36,-96958.02,5.179545,-4.722,2158.77,19.95,-5.118,10274.73,2054.61,-5403.92,8.61,False
52.188,-1.14,0,1.6991,0,-15.912,-4.2064,-7.016,8860.24,-13.1187,-3688.56,-96881.74,5.36367,-5.335,2001.45,29.205,-6.1232,9880.53,127.9649,-5663.43,11.03,False
46.176,-1.14,0,1.7438,1,-14.988,-3.4975,-3.9762,8229.24,-18.531,-4053.56,-97029.72,10.041,-5.165,2283.15,16.924,-4.6718,9978.51,446.81,-6003.03,11.32,True
39.432,-1.14,1,2.939,1,-12.9027,-3.3982,-6.124,8547.78,-13.989,-3543.16,-96880.26,10.5,-4.843,2090.91,32.0512,-5.1236,9421.23,93.49,-5307.83,10.27,False
36.8644,-1.14,1,5.605,0,-11.3337,-3.9688,-10.374,8060.24,-17.493,-3896.76,-96863.7,7.7439,-4.5854,1993.8,17.654,-11.934,11136.93,107.97,-5487.44,11.99,True
176.08,-4.14,1,1.8304,0,-13.4427,-3.37653,-3.9484,7952.24,-14.253,-3685.96,-96890,9.195,-4.858,2162.64,23.508,-6.564,9579.27,49.67,-5434.77,,False
40.986,-1.14,0,2.116,1,-11.109,-4.403,-3.6738,7908.44,-14.382,-4148.16,-96946.16,9.396,-4.4335,2322.81,28.988,-4.6326,11457.93,340.71,-6346.43,,True
47.736,-1.14,0,3.365,1,-14.655,-3.38282,-5.282,8795.04,-16.872,-3708.96,-96887,5.5515,-5.057,1893.69,31.5546,-4.9292,10014.63,87.92,-5654.53,8.2,False
37.738,-1.14,0,1.0763,0,-11.2743,-3.38074,-3.30312,8742.44,-13.95,-4033.82,-96887.66,11.904,-4.857,4790.31,22.534,-5.1338,10691.13,5152.61,-5629.53,7.77,False
76.92,-4.14,1,2.896,0,-11.3592,-3.36073,-3.728,8935.24,-12.975,-3744.02,-96969.74,6.1569,-5.079,879.81,37.824,-4.9408,11750.43,4.41,-5856.43,,True
47.976,-1.14,1,1.8661,1,-13.962,-4.649,-6.422,7759.64,-12.2094,-4262.16,-96989.54,9.483,-4.6482,2076.75,33.24,-8.438,10062.6,259.61,-5393.65,,False
